,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
0,Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers
1,Experiment in Terror,1962,100 St. Germain Avenue,,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers
2,Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew
3,A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
4,The Californians,2005,,,Jonathan Parker,Jonathan Parker & Catherine DiNapoli,Noah Wyle,,
5,Babies,2010,,,Thomas Balmes,Thomas Balmes,Bayar,Hattie,
6,I's,2011,1 Post Street,,Chris Edgette,Kyle Tuck,,,
7,When We Rise,2017,Bay Bridge,,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
8,Nash Bridges,2021,California Street at Davis,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
9,This Is Us,2022,Alamo Square Park,,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown
10,The Rock,1996,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,
11,Blue Jasmine,2013,Pacific & Divisadero,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
12,The Caine Mutiny,1954,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer
13,The Diary of a Teenage Girl,2015,700 Kansas St.,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
14,Venom,2018,Grant Ave btwn Clay and Jackson,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
15,"Murder in the First, Season 1",2014,13 Lucky Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
16,GirlBoss,2017,"The Castro Theater, 429 Castro St.",,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
17,Sense8 - Season 2,2016,Clay between Stockton and Grant,,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
18,The Pursuit of Happyness,2006,Glen Park Subway Station,,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,
19,Women is Losers,2020,Capp St at 25th St,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
20,Birth of the Dragon,2016,Leavenworth at Green,,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
21,The OA Part II,2019,Waverly Pl btwn Washington and Clay St,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
22,Chance- Season 1 ep107,2016,1958 Valencia St.,,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
